5.1937 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
14.1402 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
15.9823 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020A668FDEE0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000020A66C00BB0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.9824 	EXP 	window1: mouseVisible = True
15.9827 	EXP 	window1: mouseVisible = False
15.9827 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
15.9827 	EXP 	window1: recordFrameIntervals = False
16.1485 	EXP 	window1: recordFrameIntervals = True
16.3320 	EXP 	Screen (0) actual frame rate measured at 60.09Hz
16.3320 	EXP 	window1: recordFrameIntervals = False
19.1784 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
20.0413 	EXP 	Created response = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='response', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
20.0514 	EXP 	Created thank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='thank', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Thank you for participating', units='height', win=Window(...), wrapWidth=1)
20.0605 	EXP 	text: autoDraw = True
21.6154 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (17).
22.6412 	EXP 	window1: recordFrameIntervals = False
22.6424 	DATA 	Keypress: space
22.6447 	EXP 	text: autoDraw = False
22.6448 	EXP 	window1: recordFrameIntervals = False
25.5807 	EXP 	response: autoDraw = True
26.8480 	EXP 	window1: recordFrameIntervals = False
26.8488 	DATA 	Keypress: s
26.8505 	EXP 	response: autoDraw = False
26.8507 	EXP 	window1: recordFrameIntervals = False
28.9320 	DATA 	Keypress: s
29.7968 	EXP 	response: autoDraw = True
39.3311 	EXP 	window1: recordFrameIntervals = False
39.3320 	DATA 	Keypress: s
39.3338 	EXP 	response: autoDraw = False
39.3339 	EXP 	window1: recordFrameIntervals = False
42.2784 	EXP 	response: autoDraw = True
43.7645 	DATA 	Keypress: s
44.7801 	EXP 	window1: recordFrameIntervals = False
44.7824 	EXP 	response: autoDraw = False
44.7826 	EXP 	window1: recordFrameIntervals = False
47.7277 	EXP 	response: autoDraw = True
50.7617 	EXP 	window1: recordFrameIntervals = False
50.7626 	DATA 	Keypress: s
50.7644 	EXP 	response: autoDraw = False
